Season,Round,Constructor-Position,Constrcutor,Nation,Points,Wins
2024,13,3,Ferrari,Italian,322,2
2024,13,4,Mercedes,German,241,2
2024,13,5,Aston Martin,British,69,0
2024,13,6,RB F1 Team,Italian,33,0
2024,13,7,Haas F1 Team,American,27,0
2024,13,8,Alpine F1 Team,French,9,0
2024,13,9,Williams,British,4,0
2024,13,10,Sauber,Swiss,0,0
2024,14,1,Red Bull,Austrian,408,7
2024,14,2,McLaren,British,366,2
2024,14,3,Ferrari,Italian,345,2
2024,14,4,Mercedes,German,266,3
2024,14,5,Aston Martin,British,73,0
2024,14,6,RB F1 Team,Italian,34,0
2024,14,7,Haas F1 Team,American,27,0
2024,14,8,Alpine F1 Team,French,11,0
2024,14,9,Williams,British,4,0
2024,14,10,Sauber,Swiss,0,0
2024,22,1,McLaren,British,608,5
2024,22,2,Ferrari,Italian,584,5
2024,22,3,Red Bull,Austrian,555,8
2024,22,4,Mercedes,German,425,4
2024,22,5,Aston Martin,British,86,0
2024,22,6,Haas F1 Team,American,50,0
2024,22,7,Alpine F1 Team,French,49,0
2024,22,8,RB F1 Team,Italian,46,0
2024,22,9,Williams,British,17,0
2024,22,10,Sauber,Swiss,0,0
2024,8,1,Red Bull,Austrian,276,5
2024,8,2,Ferrari,Italian,252,2
2024,8,3,McLaren,British,184,1
2024,8,4,Mercedes,German,96,0
2024,8,5,Aston Martin,British,44,0
2024,8,6,RB F1 Team,Italian,24,0
2024,8,7,Haas F1 Team,American,7,0
2024,8,8,Williams,British,2,0
2024,8,9,Alpine F1 Team,French,2,0
2024,8,10,Sauber,Swiss,0,0
2024,6,1,Red Bull,Austrian,239,4
2024,6,2,Ferrari,Italian,187,1
2024,6,3,McLaren,British,124,1
2024,6,4,Mercedes,German,64,0
2024,6,5,Aston Martin,British,42,0
2024,6,6,RB F1 Team,Italian,19,0
2024,6,7,Haas F1 Team,American,7,0
2024,6,8,Alpine F1 Team,French,1,0
2024,6,9,Williams,British,0,0
2024,6,10,Sauber,Swiss,0,0
2024,1,1,Red Bull,Austrian,44,1
2024,1,2,Ferrari,Italian,27,0
2024,1,3,Mercedes,German,16,0
2024,1,4,McLaren,British,12,0
2024,1,5,Aston Martin,British,3,0
2024,1,6,Sauber,Swiss,0,0
2024,1,7,Haas F1 Team,American,0,0
2024,1,8,RB F1 Team,Italian,0,0
2024,1,9,Williams,British,0,0
2024,1,10,Alpine F1 Team,French,0,0
2024,7,1,Red Bull,Austrian,268,5
2024,7,2,Ferrari,Italian,212,1
2024,7,3,McLaren,British,154,1
2024,7,4,Mercedes,German,79,0
2024,7,5,Aston Martin,British,44,0
2024,7,6,RB F1 Team,Italian,20,0
2024,7,7,Haas F1 Team,American,7,0
2024,7,8,Alpine F1 Team,French,1,0
2024,7,9,Williams,British,0,0
2024,7,10,Sauber,Swiss,0,0
2024,9,1,Red Bull,Austrian,301,6
2024,9,2,Ferrari,Italian,252,2
2024,9,3,McLaren,British,212,1
2024,9,4,Mercedes,German,124,0
2024,9,5,Aston Martin,British,58,0
2024,9,6,RB F1 Team,Italian,28,0
2024,9,7,Haas F1 Team,American,7,0
2024,9,8,Alpine F1 Team,French,5,0
2024,9,9,Williams,British,2,0
2024,9,10,Sauber,Swiss,0,0
2024,20,1,McLaren,British,566,5
2024,20,2,Ferrari,Italian,537,5
2024,20,3,Red Bull,Austrian,512,7
2024,20,4,Mercedes,German,366,3
2024,20,5,Aston Martin,British,86,0
2024,20,6,Haas F1 Team,American,46,0
2024,20,7,RB F1 Team,Italian,36,0
2024,20,8,Williams,British,17,0
2024,20,9,Alpine F1 Team,French,14,0
2024,20,10,Sauber,Swiss,0,0
2024,18,1,McLaren,British,516,5
2024,18,2,Red Bull,Austrian,475,7
2024,18,3,Ferrari,Italian,441,3
2024,18,4,Mercedes,German,329,3
2024,18,5,Aston Martin,British,86,0
2024,18,6,RB F1 Team,Italian,34,0
2024,18,7,Haas F1 Team,American,31,0
2024,18,8,Williams,British,16,0
2024,18,9,Alpine F1 Team,French,13,0
2024,18,10,Sauber,Swiss,0,0
2024,11,1,Red Bull,Austrian,355,7
2024,11,2,Ferrari,Italian,291,2
2024,11,3,McLaren,British,268,1
2024,11,4,Mercedes,German,196,1
2024,11,5,Aston Martin,British,58,0
2024,11,6,RB F1 Team,Italian,30,0
2024,11,7,Haas F1 Team,American,19,0
2024,11,8,Alpine F1 Team,French,9,0
2024,11,9,Williams,British,2,0
2024,11,10,Sauber,Swiss,0,0
2024,16,1,Red Bull,Austrian,446,7
2024,16,2,McLaren,British,438,3
2024,16,3,Ferrari,Italian,407,3
2024,16,4,Mercedes,German,292,3
2024,16,5,Aston Martin,British,74,0
2024,16,6,RB F1 Team,Italian,34,0
2024,16,7,Haas F1 Team,American,28,0
2024,16,8,Alpine F1 Team,French,13,0
2024,16,9,Williams,British,6,0
2024,16,10,Sauber,Swiss,0,0
2024,17,1,McLaren,British,476,4
2024,17,2,Red Bull,Austrian,456,7
2024,17,3,Ferrari,Italian,425,3
2024,17,4,Mercedes,German,309,3
2024,17,5,Aston Martin,British,82,0
2024,17,6,RB F1 Team,Italian,34,0
2024,17,7,Haas F1 Team,American,29,0
2024,17,8,Williams,British,16,0
2024,17,9,Alpine F1 Team,French,13,0
2024,17,10,Sauber,Swiss,0,0
2024,10,1,Red Bull,Austrian,330,7
2024,10,2,Ferrari,Italian,270,2
2024,10,3,McLaren,British,237,1
2024,10,4,Mercedes,German,151,0
2024,10,5,Aston Martin,British,58,0
2024,10,6,RB F1 Team,Italian,28,0
2024,10,7,Alpine F1 Team,French,8,0
2024,10,8,Haas F1 Team,American,7,0
2024,10,9,Williams,British,2,0
2024,10,10,Sauber,Swiss,0,0
2024,19,1,McLaren,British,544,5
2024,19,2,Red Bull,Austrian,504,7
2024,19,3,Ferrari,Italian,496,4
2024,19,4,Mercedes,German,344,3
2024,19,5,Aston Martin,British,86,0
2024,19,6,Haas F1 Team,American,38,0
2024,19,7,RB F1 Team,Italian,36,0
2024,19,8,Williams,British,17,0
2024,19,9,Alpine F1 Team,French,13,0
2024,19,10,Sauber,Swiss,0,0
2024,21,1,McLaren,British,593,5
2024,21,2,Ferrari,Italian,557,5
2024,21,3,Red Bull,Austrian,544,8
2024,21,4,Mercedes,German,382,3
2024,21,5,Aston Martin,British,86,0
2024,21,6,Alpine F1 Team,French,49,0
2024,21,7,Haas F1 Team,American,46,0
2024,21,8,RB F1 Team,Italian,44,0
2024,21,9,Williams,British,17,0
2024,21,10,Sauber,Swiss,0,0
2024,2,1,Red Bull,Austrian,87,2
2024,2,2,Ferrari,Italian,49,0
2024,2,3,McLaren,British,28,0
2024,2,4,Mercedes,German,26,0
2024,2,5,Aston Martin,British,13,0
2024,2,6,Haas F1 Team,American,1,0
2024,2,7,Williams,British,0,0
2024,2,8,Sauber,Swiss,0,0
2024,2,9,RB F1 Team,Italian,0,0
2024,2,10,Alpine F1 Team,French,0,0
2024,5,1,Red Bull,Austrian,195,4
2024,5,2,Ferrari,Italian,151,1
2024,5,3,McLaren,British,96,0
2024,5,4,Mercedes,German,52,0
2024,5,5,Aston Martin,British,40,0
2024,5,6,RB F1 Team,Italian,7,0
2024,5,7,Haas F1 Team,American,5,0
2024,5,8,Williams,British,0,0
2024,5,9,Alpine F1 Team,French,0,0
2024,5,10,Sauber,Swiss,0,0
2024,4,1,Red Bull,Austrian,141,3
2024,4,2,Ferrari,Italian,120,1
2024,4,3,McLaren,British,69,0
2024,4,4,Mercedes,German,34,0
2024,4,5,Aston Martin,British,33,0
2024,4,6,RB F1 Team,Italian,7,0
2024,4,7,Haas F1 Team,American,4,0
2024,4,8,Williams,British,0,0
2024,4,9,Sauber,Swiss,0,0
2024,4,10,Alpine F1 Team,French,0,0
2024,3,1,Red Bull,Austrian,97,2
2024,3,2,Ferrari,Italian,93,1
2024,3,3,McLaren,British,55,0
2024,3,4,Mercedes,German,26,0
2024,3,5,Aston Martin,British,25,0
2024,3,6,RB F1 Team,Italian,6,0
2024,3,7,Haas F1 Team,American,4,0
2024,3,8,Williams,British,0,0
2024,3,9,Sauber,Swiss,0,0
2024,3,10,Alpine F1 Team,French,0,0
2023,15,1,Red Bull,Austrian,597,14
2023,15,2,Mercedes,German,289,0
2023,15,3,Ferrari,Italian,265,1
2023,15,4,Aston Martin,British,217,0
2023,15,5,McLaren,British,139,0
2023,15,6,Alpine F1 Team,French,81,0
2023,15,7,Williams,British,21,0
2023,15,8,Haas F1 Team,American,12,0
2023,15,9,Alfa Romeo,Swiss,10,0
2023,15,10,AlphaTauri,Italian,5,0
2023,12,1,Red Bull,Austrian,503,12
2023,12,2,Mercedes,German,247,0
2023,12,3,Aston Martin,British,196,0
2023,12,4,Ferrari,Italian,191,0
2023,12,5,McLaren,British,103,0
2023,12,6,Alpine F1 Team,French,57,0
2023,12,7,Williams,British,11,0
2023,12,8,Haas F1 Team,American,11,0
2023,12,9,Alfa Romeo,Swiss,9,0
2023,12,10,AlphaTauri,Italian,3,0
2023,13,1,Red Bull,Austrian,540,13
2023,13,2,Mercedes,German,255,0
2023,13,3,Aston Martin,British,215,0
2023,13,4,Ferrari,Italian,201,0
2023,13,5,McLaren,British,111,0
2023,13,6,Alpine F1 Team,French,73,0
2023,13,7,Williams,British,15,0
2023,13,8,Haas F1 Team,American,11,0
2023,13,9,Alfa Romeo,Swiss,9,0
2023,13,10,AlphaTauri,Italian,3,0
2023,14,1,Red Bull,Austrian,583,14
2023,14,2,Mercedes,German,273,0
2023,14,3,Ferrari,Italian,228,0
2023,14,4,Aston Martin,British,217,0
2023,14,5,McLaren,British,115,0
2023,14,6,Alpine F1 Team,French,73,0
2023,14,7,Williams,British,21,0
2023,14,8,Haas F1 Team,American,11,0
2023,14,9,Alfa Romeo,Swiss,10,0
2023,14,10,AlphaTauri,Italian,3,0
2023,22,1,Red Bull,Austrian,860,21
2023,22,2,Mercedes,German,409,0
2023,22,3,Ferrari,Italian,406,1
2023,22,4,McLaren,British,302,0
2023,22,5,Aston Martin,British,280,0
2023,22,6,Alpine F1 Team,French,120,0
2023,22,7,Williams,British,28,0
2023,22,8,AlphaTauri,Italian,25,0
2023,22,9,Alfa Romeo,Swiss,16,0
2023,22,10,Haas F1 Team,American,12,0
2023,8,1,Red Bull,Austrian,321,8
2023,8,2,Mercedes,German,167,0
2023,8,3,Aston Martin,British,154,0
2023,8,4,Ferrari,Italian,122,0
2023,8,5,Alpine F1 Team,French,44,0
2023,8,6,McLaren,British,17,0
2023,8,7,Alfa Romeo,Swiss,9,0
2023,8,8,Haas F1 Team,American,8,0
2023,8,9,Williams,British,7,0
2023,8,10,AlphaTauri,Italian,2,0
2023,6,1,Red Bull,Austrian,249,6
2023,6,2,Aston Martin,British,120,0
2023,6,3,Mercedes,German,119,0
2023,6,4,Ferrari,Italian,90,0
2023,6,5,Alpine F1 Team,French,35,0
2023,6,6,McLaren,British,17,0
2023,6,7,Haas F1 Team,American,8,0
2023,6,8,Alfa Romeo,Swiss,6,0
2023,6,9,AlphaTauri,Italian,2,0
2023,6,10,Williams,British,1,0
2023,1,1,Red Bull,Austrian,43,1
2023,1,2,Aston Martin,British,23,0
2023,1,3,Mercedes,German,16,0
2023,1,4,Ferrari,Italian,12,0
2023,1,5,Alfa Romeo,Swiss,4,0
2023,1,6,Alpine F1 Team,French,2,0
2023,1,7,Williams,British,1,0
2023,1,8,AlphaTauri,Italian,0,0
2023,1,9,Haas F1 Team,American,0,0
2023,1,10,McLaren,British,0,0
2023,7,1,Red Bull,Austrian,287,7
2023,7,2,Mercedes,German,152,0
2023,7,3,Aston Martin,British,134,0
2023,7,4,Ferrari,Italian,100,0
2023,7,5,Alpine F1 Team,French,40,0
2023,7,6,McLaren,British,17,0
2023,7,7,Haas F1 Team,American,8,0
2023,7,8,Alfa Romeo,Swiss,8,0
2023,7,9,AlphaTauri,Italian,2,0
2023,7,10,Williams,British,1,0
2023,9,1,Red Bull,Austrian,377,9
2023,9,2,Mercedes,German,178,0
2023,9,3,Aston Martin,British,175,0
2023,9,4,Ferrari,Italian,154,0
2023,9,5,Alpine F1 Team,French,47,0
2023,9,6,McLaren,British,29,0
2023,9,7,Haas F1 Team,American,11,0
2023,9,8,Alfa Romeo,Swiss,9,0
2023,9,9,Williams,British,7,0
2023,9,10,AlphaTauri,Italian,2,0
2023,20,1,Red Bull,Austrian,782,19
2023,20,2,Mercedes,German,382,0
2023,20,3,Ferrari,Italian,362,1
2023,20,4,McLaren,British,282,0
2023,20,5,Aston Martin,British,261,0
2023,20,6,Alpine F1 Team,French,108,0
2023,20,7,Williams,British,28,0
2023,20,8,AlphaTauri,Italian,21,0
2023,20,9,Alfa Romeo,Swiss,16,0
2023,20,10,Haas F1 Team,American,12,0
2023,18,1,Red Bull,Austrian,706,17
2023,18,2,Mercedes,German,344,0
2023,18,3,Ferrari,Italian,322,1
2023,18,4,McLaren,British,242,0
2023,18,5,Aston Martin,British,236,0
2023,18,6,Alpine F1 Team,French,100,0
2023,18,7,Williams,British,26,0
2023,18,8,Alfa Romeo,Swiss,16,0
2023,18,9,Haas F1 Team,American,12,0
2023,18,10,AlphaTauri,Italian,10,0
2023,11,1,Red Bull,Austrian,452,11
2023,11,2,Mercedes,German,223,0
2023,11,3,Aston Martin,British,184,0
2023,11,4,Ferrari,Italian,167,0
2023,11,5,McLaren,British,87,0
2023,11,6,Alpine F1 Team,French,47,0
2023,11,7,Williams,British,11,0
2023,11,8,Haas F1 Team,American,11,0
2023,11,9,Alfa Romeo,Swiss,9,0
2023,11,10,AlphaTauri,Italian,2,0
2023,16,1,Red Bull,Austrian,623,15
2023,16,2,Mercedes,German,305,0
2023,16,3,Ferrari,Italian,285,1
2023,16,4,Aston Martin,British,221,0
2023,16,5,McLaren,British,172,0
2023,16,6,Alpine F1 Team,French,84,0
2023,16,7,Williams,British,21,0
2023,16,8,Haas F1 Team,American,12,0
2023,16,9,Alfa Romeo,Swiss,10,0
2023,16,10,AlphaTauri,Italian,5,0
2023,17,1,Red Bull,Austrian,657,16
2023,17,2,Mercedes,German,326,0
2023,17,3,Ferrari,Italian,298,1
2023,17,4,Aston Martin,British,230,0
2023,17,5,McLaren,British,219,0
2023,17,6,Alpine F1 Team,French,90,0
2023,17,7,Williams,British,23,0
2023,17,8,Alfa Romeo,Swiss,16,0
2023,17,9,Haas F1 Team,American,12,0
2023,17,10,AlphaTauri,Italian,5,0
2023,10,1,Red Bull,Austrian,411,10
2023,10,2,Mercedes,German,203,0
2023,10,3,Aston Martin,British,181,0
2023,10,4,Ferrari,Italian,157,0
2023,10,5,McLaren,British,59,0
2023,10,6,Alpine F1 Team,French,47,0
2023,10,7,Williams,British,11,0
2023,10,8,Haas F1 Team,American,11,0
2023,10,9,Alfa Romeo,Swiss,9,0
2023,10,10,AlphaTauri,Italian,2,0
2023,19,1,Red Bull,Austrian,731,18
2023,19,2,Mercedes,German,371,0
2023,19,3,Ferrari,Italian,349,1
2023,19,4,McLaren,British,256,0
2023,19,5,Aston Martin,British,236,0
2023,19,6,Alpine F1 Team,French,101,0
2023,19,7,Williams,British,28,0
2023,19,8,AlphaTauri,Italian,16,0
2023,19,9,Alfa Romeo,Swiss,16,0
2023,19,10,Haas F1 Team,American,12,0
2023,21,1,Red Bull,Austrian,822,20
2023,21,2,Mercedes,German,392,0
2023,21,3,Ferrari,Italian,388,1
2023,21,4,McLaren,British,284,0
2023,21,5,Aston Martin,British,273,0
2023,21,6,Alpine F1 Team,French,120,0
2023,21,7,Williams,British,28,0
2023,21,8,AlphaTauri,Italian,21,0
2023,21,9,Alfa Romeo,Swiss,16,0
2023,21,10,Haas F1 Team,American,12,0
2023,2,1,Red Bull,Austrian,87,2
2023,2,2,Aston Martin,British,38,0
2023,2,3,Mercedes,German,38,0
2023,2,4,Ferrari,Italian,26,0
2023,2,5,Alpine F1 Team,French,8,0
2023,2,6,Alfa Romeo,Swiss,4,0
2023,2,7,Haas F1 Team,American,1,0
2023,2,8,Williams,British,1,0
2023,2,9,AlphaTauri,Italian,0,0
2023,2,10,McLaren,British,0,0
2023,5,1,Red Bull,Austrian,224,5
2023,5,2,Aston Martin,British,102,0
2023,5,3,Mercedes,German,96,0
2023,5,4,Ferrari,Italian,78,0
2023,5,5,McLaren,British,14,0
2023,5,6,Alpine F1 Team,French,14,0
2023,5,7,Haas F1 Team,American,8,0
2023,5,8,Alfa Romeo,Swiss,6,0
2023,5,9,AlphaTauri,Italian,2,0
2023,5,10,Williams,British,1,0
2023,4,1,Red Bull,Austrian,180,4
2023,4,2,Aston Martin,British,87,0
2023,4,3,Mercedes,German,76,0
2023,4,4,Ferrari,Italian,62,0
2023,4,5,McLaren,British,14,0
2023,4,6,Alpine F1 Team,French,8,0
2023,4,7,Haas F1 Team,American,7,0
2023,4,8,Alfa Romeo,Swiss,6,0
2023,4,9,AlphaTauri,Italian,2,0
2023,4,10,Williams,British,1,0
2023,3,1,Red Bull,Austrian,123,3
2023,3,2,Aston Martin,British,65,0
2023,3,3,Mercedes,German,56,0
2023,3,4,Ferrari,Italian,26,0
2023,3,5,McLaren,British,12,0
2023,3,6,Alpine F1 Team,French,8,0
2023,3,7,Haas F1 Team,American,7,0
2023,3,8,Alfa Romeo,Swiss,6,0
2023,3,9,AlphaTauri,Italian,1,0
2023,3,10,Williams,British,1,0
2015,15,1,Mercedes,German,531,12
2015,15,2,Ferrari,Italian,359,3
2015,15,3,Williams,British,220,0
2015,15,4,Red Bull,Austrian,149,0
2015,15,5,Force India,Indian,92,0
2015,15,6,Lotus F1,British,66,0
2015,15,7,Toro Rosso,Italian,45,0
2015,15,8,Sauber,Swiss,34,0
2015,15,9,McLaren,British,19,0
2015,15,10,Manor Marussia,British,0,0
2015,12,1,Mercedes,German,451,10
2015,12,2,Ferrari,Italian,270,2
2015,12,3,Williams,British,188,0
2015,12,4,Red Bull,Austrian,113,0
2015,12,5,Force India,Indian,63,0
2015,12,6,Lotus F1,British,50,0
2015,12,7,Toro Rosso,Italian,35,0
2015,12,8,Sauber,Swiss,25,0
2015,12,9,McLaren,British,17,0
2015,12,10,Manor Marussia,British,0,0
2015,13,1,Mercedes,German,463,10
2015,13,2,Ferrari,Italian,310,3
2015,13,3,Williams,British,198,0
2015,13,4,Red Bull,Austrian,139,0
2015,13,5,Force India,Indian,69,0
2015,13,6,Lotus F1,British,50,0
2015,13,7,Toro Rosso,Italian,41,0
2015,13,8,Sauber,Swiss,26,0
2015,13,9,McLaren,British,17,0
2015,13,10,Manor Marussia,British,0,0
2015,14,1,Mercedes,German,506,11
2015,14,2,Ferrari,Italian,337,3
2015,14,3,Williams,British,208,0
2015,14,4,Red Bull,Austrian,139,0
2015,14,5,Force India,Indian,77,0
2015,14,6,Lotus F1,British,60,0
2015,14,7,Toro Rosso,Italian,44,0
2015,14,8,Sauber,Swiss,26,0
2015,14,9,McLaren,British,17,0
2015,14,10,Manor Marussia,British,0,0
2015,8,1,Mercedes,German,328,7
2015,8,2,Ferrari,Italian,192,1
2015,8,3,Williams,British,129,0
2015,8,4,Red Bull,Austrian,55,0
2015,8,5,Force India,Indian,31,0
2015,8,6,Lotus F1,British,29,0
2015,8,7,Sauber,Swiss,21,0
2015,8,8,Toro Rosso,Italian,19,0
2015,8,9,McLaren,British,4,0
2015,8,10,Manor Marussia,British,0,0
2015,6,1,Mercedes,German,242,5
2015,6,2,Ferrari,Italian,158,1
2015,6,3,Williams,British,81,0
2015,6,4,Red Bull,Austrian,52,0
2015,6,5,Sauber,Swiss,21,0
2015,6,6,Force India,Indian,17,0
2015,6,7,Lotus F1,British,16,0
2015,6,8,Toro Rosso,Italian,15,0
2015,6,9,McLaren,British,4,0
2015,6,10,Manor Marussia,British,0,0
2015,1,1,Mercedes,German,43,1
2015,1,2,Ferrari,Italian,15,0
2015,1,3,Sauber,Swiss,14,0
2015,1,4,Williams,British,12,0
2015,1,5,Red Bull,Austrian,8,0
2015,1,6,Force India,Indian,7,0
2015,1,7,Toro Rosso,Italian,2,0
2015,1,8,McLaren,British,0,0
2015,1,9,Lotus F1,British,0,0
2015,7,1,Mercedes,German,285,6
2015,7,2,Ferrari,Italian,180,1
2015,7,3,Williams,British,104,0
2015,7,4,Red Bull,Austrian,54,0
2015,7,5,Lotus F1,British,23,0
2015,7,6,Sauber,Swiss,21,0
2015,7,7,Force India,Indian,21,0
2015,7,8,Toro Rosso,Italian,15,0
2015,7,9,McLaren,British,4,0
2015,7,10,Manor Marussia,British,0,0
2015,9,1,Mercedes,German,371,8
2015,9,2,Ferrari,Italian,211,1
2015,9,3,Williams,British,151,0
2015,9,4,Red Bull,Austrian,63,0
2015,9,5,Force India,Indian,39,0
2015,9,6,Lotus F1,British,29,0
2015,9,7,Sauber,Swiss,21,0
2015,9,8,Toro Rosso,Italian,19,0
2015,9,9,McLaren,British,5,0
2015,9,10,Manor Marussia,British,0,0
2015,18,1,Mercedes,German,660,15
2015,18,2,Ferrari,Italian,401,3
2015,18,3,Williams,British,253,0
2015,18,4,Red Bull,Austrian,178,0
2015,18,5,Force India,Indian,120,0
2015,18,6,Lotus F1,British,76,0
2015,18,7,Toro Rosso,Italian,67,0
2015,18,8,Sauber,Swiss,36,0
2015,18,9,McLaren,British,27,0
2015,18,10,Manor Marussia,British,0,0
2015,11,1,Mercedes,German,426,9
2015,11,2,Ferrari,Italian,242,2
2015,11,3,Williams,British,161,0
2015,11,4,Red Bull,Austrian,108,0
2015,11,5,Lotus F1,British,50,0
2015,11,6,Force India,Indian,49,0
2015,11,7,Toro Rosso,Italian,35,0
2015,11,8,Sauber,Swiss,23,0
2015,11,9,McLaren,British,17,0
2015,11,10,Manor Marussia,British,0,0
2015,16,1,Mercedes,German,574,13
2015,16,2,Ferrari,Italian,374,3
2015,16,3,Williams,British,220,0
2015,16,4,Red Bull,Austrian,150,0
2015,16,5,Force India,Indian,102,0
2015,16,6,Lotus F1,British,70,0
2015,16,7,Toro Rosso,Italian,63,0
2015,16,8,Sauber,Swiss,36,0
2015,16,9,McLaren,British,27,0
2015,16,10,Manor Marussia,British,0,0
2015,17,1,Mercedes,German,617,14
2015,17,2,Ferrari,Italian,374,3
2015,17,3,Williams,British,243,0
2015,17,4,Red Bull,Austrian,172,0
2015,17,5,Force India,Indian,112,0
2015,17,6,Lotus F1,British,71,0
2015,17,7,Toro Rosso,Italian,65,0
2015,17,8,Sauber,Swiss,36,0
2015,17,9,McLaren,British,27,0
2015,17,10,Manor Marussia,British,0,0
2015,10,1,Mercedes,German,383,8
2015,10,2,Ferrari,Italian,236,2
2015,10,3,Williams,British,151,0
2015,10,4,Red Bull,Austrian,96,0
2015,10,5,Force India,Indian,39,0
2015,10,6,Lotus F1,British,35,0
2015,10,7,Toro Rosso,Italian,31,0
2015,10,8,Sauber,Swiss,22,0
2015,10,9,McLaren,British,17,0
2015,10,10,Manor Marussia,British,0,0
2015,19,1,Mercedes,German,703,16
2015,19,2,Ferrari,Italian,428,3
2015,19,3,Williams,British,257,0
2015,19,4,Red Bull,Austrian,187,0
2015,19,5,Force India,Indian,136,0
2015,19,6,Lotus F1,British,78,0
2015,19,7,Toro Rosso,Italian,67,0
2015,19,8,Sauber,Swiss,36,0
2015,19,9,McLaren,British,27,0
2015,19,10,Manor Marussia,British,0,0
2015,2,1,Mercedes,German,76,1
2015,2,2,Ferrari,Italian,52,1
2015,2,3,Williams,British,30,0
2015,2,4,Sauber,Swiss,14,0
2015,2,5,Toro Rosso,Italian,12,0
2015,2,6,Red Bull,Austrian,11,0
2015,2,7,Force India,Indian,7,0
2015,2,8,Lotus F1,British,0,0
2015,2,9,McLaren,British,0,0
2015,2,10,Manor Marussia,British,0,0
2015,5,1,Mercedes,German,202,4
2015,5,2,Ferrari,Italian,132,1
2015,5,3,Williams,British,81,0
2015,5,4,Red Bull,Austrian,30,0
2015,5,5,Sauber,Swiss,19,0
2015,5,6,Lotus F1,British,16,0
2015,5,7,Toro Rosso,Italian,14,0
2015,5,8,Force India,Indian,11,0
2015,5,9,McLaren,British,0,0
2015,5,10,Manor Marussia,British,0,0
2015,4,1,Mercedes,German,159,3
2015,4,2,Ferrari,Italian,107,1
2015,4,3,Williams,British,61,0
2015,4,4,Red Bull,Austrian,23,0
2015,4,5,Sauber,Swiss,19,0
2015,4,6,Lotus F1,British,12,0
2015,4,7,Toro Rosso,Italian,12,0
2015,4,8,Force India,Indian,11,0
2015,4,9,McLaren,British,0,0
2015,4,10,Manor Marussia,British,0,0
2015,3,1,Mercedes,German,119,2
2015,3,2,Ferrari,Italian,79,1
2015,3,3,Williams,British,48,0
2015,3,4,Sauber,Swiss,19,0
2015,3,5,Red Bull,Austrian,13,0
2015,3,6,Toro Rosso,Italian,12,0
2015,3,7,Force India,Indian,7,0
2015,3,8,Lotus F1,British,6,0
2015,3,9,McLaren,British,0,0
2015,3,10,Manor Marussia,British,0,0
2012,15,1,Red Bull,Austrian,324,5
2012,15,2,McLaren,British,283,5
2012,15,3,Ferrari,Italian,263,3
2012,15,4,Lotus F1,British,239,0
2012,15,5,Mercedes,German,136,1
2012,15,6,Sauber,Swiss,116,0
2012,15,7,Force India,Indian,81,0
2012,15,8,Williams,British,58,1
2012,15,9,Toro Rosso,Italian,15,0
2012,15,10,Marussia,Russian,0,0
2012,15,11,Caterham,Malaysian,0,0
2012,15,12,HRT,Spanish,0,0
2012,12,1,Red Bull,Austrian,272,3
2012,12,2,McLaren,British,218,4
2012,12,3,Lotus F1,British,207,0
2012,12,4,Ferrari,Italian,199,3
2012,12,5,Mercedes,German,112,1
2012,12,6,Sauber,Swiss,80,0
2012,12,7,Force India,Indian,59,0
2012,12,8,Williams,British,53,1
2012,12,9,Toro Rosso,Italian,12,0
2012,12,10,Caterham,Malaysian,0,0
2012,12,11,Marussia,Russian,0,0
2012,12,12,HRT,Spanish,0,0
2012,13,1,Red Bull,Austrian,272,3
2012,13,2,McLaren,British,243,5
2012,13,3,Ferrari,Italian,226,3
2012,13,4,Lotus F1,British,217,0
2012,13,5,Mercedes,German,126,1
2012,13,6,Sauber,Swiss,100,0
2012,13,7,Force India,Indian,63,0
2012,13,8,Williams,British,54,1
2012,13,9,Toro Rosso,Italian,12,0
2012,13,10,Caterham,Malaysian,0,0
2012,13,11,Marussia,Russian,0,0
2012,13,12,HRT,Spanish,0,0
2012,14,1,Red Bull,Austrian,297,4
2012,14,2,McLaren,British,261,5
2012,14,3,Ferrari,Italian,245,3
2012,14,4,Lotus F1,British,231,0
2012,14,5,Mercedes,German,136,1
2012,14,6,Sauber,Swiss,101,0
2012,14,7,Force India,Indian,75,0
2012,14,8,Williams,British,54,1
2012,14,9,Toro Rosso,Italian,14,0
2012,14,10,Marussia,Russian,0,0
2012,14,11,Caterham,Malaysian,0,0
2012,14,12,HRT,Spanish,0,0
2012,8,1,Red Bull,Austrian,176,2
2012,8,2,McLaren,British,137,2
2012,8,3,Lotus F1,British,126,0
2012,8,4,Ferrari,Italian,122,2
2012,8,5,Mercedes,German,92,1
2012,8,6,Sauber,Swiss,60,0
2012,8,7,Williams,British,45,1
2012,8,8,Force India,Indian,44,0
2012,8,9,Toro Rosso,Italian,6,0
2012,8,10,Caterham,Malaysian,0,0
2012,8,11,Marussia,Russian,0,0
2012,8,12,HRT,Spanish,0,0
2012,6,1,Red Bull,Austrian,146,2
2012,6,2,McLaren,British,108,1
2012,6,3,Ferrari,Italian,86,1
2012,6,4,Lotus F1,British,86,0
2012,6,5,Mercedes,German,61,1
2012,6,6,Williams,British,44,1
2012,6,7,Sauber,Swiss,41,0
2012,6,8,Force India,Indian,28,0
2012,6,9,Toro Rosso,Italian,6,0
2012,6,10,Caterham,Malaysian,0,0
2012,6,11,Marussia,Russian,0,0
2012,6,12,HRT,Spanish,0,0
2012,1,1,McLaren,British,40,1
